G3E_FID,MUNICIPIO,SUBESTACIO,CIRCUITO,CIRCUITO_S,EST_ESTABL,RECONEC_CODE,TIPO_RED,TENSION,FASES,LATITUDE,LONGITUDE,FECHA_COLO,FECHA_MODI,CLASIFICAC,NODO1_ID,NODO2_ID,UBICACION_,FECHA_ACTU,MUNICIPIO_CODE,SUBREGION
13920012,APARTADÓ,APARTADO,401-11,401-11,CLOSED,R1229,PRIMARIA,7.621,T,7.883380000000001,-76.5617,2016-12-06,2020-06-09,RURAL,47632889,58014395,13920012-5,2018-04-16,5045,APARTADO
13965110,NECOCLÍ,NECOCLI,415-12,415-12,CLOSED,R1268,PRIMARIA,13.2,TSR,8.40895,-76.75417,2017-01-31,2019-12-27,RURAL,57792456,57792458,13965110-5,2018-04-16,5490,TURBO
13965234,NECOCLÍ,NECOCLI,415-12,415-12,CLOSED,R1273,PRIMARIA,7.621,T,8.346960000000001,-76.73921999999999,2017-01-31,2020-06-09,RURAL,57409011,57409027,13965234-5,2018-04-16,5490,TURBO
13965280,NECOCLÍ,NECOCLI,415-13,415-13,CLOSED,R1276,PRIMARIA,13.2,TSR,8.47202,-76.73380999999999,2017-01-31,2020-06-09,RURAL,47643927,57492678,13965280-5,2018-04-13,5490,TURBO
13965324,CHIGORODÓ,CHIGORODO,403-12,403-12,CLOSED,R1277,PRIMARIA,7.621,T,7.69066,-76.72721,2017-01-31,2020-06-09,RURAL,57844019,57844020,13965324-5,2018-04-05,5172,APARTADO
13965325,CHIGORODÓ,CHIGORODO,403-12,403-12,CLOSED,R1272,PRIMARIA,7.621,R,7.68509,-76.72914,2017-01-31,2020-06-09,RURAL,57392686,57392688,13965325-5,2018-04-05,5172,APARTADO
13966266,TURBO,NECOCLI,415-12,415-12,CLOSED,R1275,PRIMARIA,7.621,R,8.36255,-76.61072,2017-02-02,2020-06-09,RURAL,57792876,57792880,13966266-5,2018-04-16,5837,TURBO
13966943,SAN JUAN DE URABÁ,ARBOLETES,409-12,409-12,CLOSED,R1265,PRIMARIA,13.2,RST,8.75677,-76.52875,2017-02-03,2019-12-27,RURAL,57487252,57793143,13966943-5,2018-04-13,5659,TURBO
13967092,NECOCLÍ,NECOCLI,415-12,415-12,CLOSED,R1269,PRIMARIA,13.2,STR,8.42015,-76.64649,2017-02-03,2020-06-09,RURAL,57310102,57310129,13967092-5,2018-04-16,5490,TURBO
13967124,NECOCLÍ,NECOCLI,415-12,415-12,CLOSED,R1274,PRIMARIA,13.2,STR,8.41041,-76.64414000000001,2017-02-03,2020-06-09,RURAL,57964369,58003463,13967124-5,2018-04-16,5490,TURBO
14010289,APARTADÓ,APARTADO,401-11,401-11,CLOSED,R1223,PRIMARIA,13.2,STR,7.8891,-76.6277,2017-04-03,2019-12-27,URBANO,57808042,57808043,14010289-5,2018-04-16,5045,APARTADO
14063242,CHIGORODÓ,CHIGORODO,403-13,403-13,CLOSED,R1337,PRIMARIA,13.2,RST,7.664789999999999,-76.67581,2017-07-06,2020-06-09,URBANO,57389288,57825465,14063242-5,2018-02-28,5172,APARTADO
14063731,TURBO,URABA,411-13,410-11,OPEN,R1301,PRIMARIA,7.621,T,8.173739999999999,-76.53048000000001,2017-07-07,2019-12-27,RURAL,57782461,57788318,14063731-5,2018-04-16,5837,TURBO
14063844,TURBO,URABA,411-13,411-13,CLOSED,R1303,PRIMARIA,7.621,T,8.12566,-76.57975,2017-07-07,2019-12-27,RURAL,57891012,57891013,14063844-5,2018-04-16,5837,TURBO
14063917,TURBO,PUEBLO BELLO,410-11,410-11,CLOSED,R1335,PRIMARIA,7.621,T,8.20402,-76.52579,2017-07-07,2020-06-09,RURAL,47641533,57825654,14063917-5,2018-04-10,5837,TURBO
14065373,APARTADÓ,NUEVA COLONIA,406-11,406-11,CLOSED,R1332,PRIMARIA,13.2,RT,7.9260399999999995,-76.62011,2017-07-10,2020-06-09,RURAL,57391482,57391483,14065373-5,2018-04-16,5045,APARTADO
14065414,TURBO,URABA,411-13,411-13,CLOSED,R1302,PRIMARIA,13.2,RST,8.12659,-76.68271,2017-07-10,2020-06-09,RURAL,57999327,57999326,14065414-5,2018-04-16,5837,TURBO
14065543,CAREPA,CAREPA,412-11,412-11,CLOSED,R1300,PRIMARIA,7.621,T,7.74787,-76.70453,2017-07-10,2020-06-09,RURAL,47643120,57826187,14065543-5,2018-04-10,5147,APARTADO
14065604,SAN PEDRO DE URABÁ,S.PEDRO URABA,407-13,407-13,CLOSED,R1333,PRIMARIA,13.2,SRT,8.28753,-76.38984,2017-07-10,2020-06-09,URBANO,47674544,57492408,14065604-5,2018-04-11,5665,TURBO
