G3E_FID,MUNICIPIO,COMUNA,BARRIO,VEREDA,UBICACION,SUBESTACIO,CIRCUITO,CIRCUITO_S,EST_ESTABL,CODIGO,TIPO_RED,TENSION,FASES,CAPACIDAD_,NRO_OPERAC,MODELO,VALORES_PL,CORRIENTE1,CURVAS_OPE,NRO_DISP_C,NRO_DISP_1,COMUNICACI,BIDIRECCIO,FID_ANTERI,COOR_X,COOR_Y,COOR_Z,COOR_GPS_L,COOR_GPS_1,FECHA_COLO,FECHA_MODI,JOB_COLOCA,DIRECCION,CLASIFICAC,NODO1_ID,NODO2_ID,EST_OPERAT,TIPO_RED_C,SUBESTACI1,CIRCUITO_C,TENSION_CO,FASES_CONN,UBICACION_,FECHA_ACTU,MUNICIPIO_,SUBREGION
13094716,TURBO,TURBO,SAN MARTIN,TURBO,,TURBO,402-15,402-15,CLOSED,R828,PRIMARIA,13.2,TSR,630,0,EPR,,,,,,,NO,13094716,708134.77,1387198.148,,8.08885,-76.72462,4/9/2013,6/9/2020,WO#241_GEADE,,URBANO,57493379,57493381,CLOSED,PRIMARIA,TURBO,402-15,13.2,TSR,13094716-5,4/13/2018,5837,TURBO
13095101,APARTADÓ,,,,,APARTADO,401-15,401-15,CLOSED,R811,PRIMARIA,13.2,RTS,630,0,EPR,,,,,,,NO,13095101,717510.776,1364940.231,,7.88838,-76.63839,4/10/2013,7/7/2018,WO#241_GEADE,,URBANO,57492332,57492333,CLOSED,PRIMARIA,APARTADO,401-15,13.2,RTS,13095101-5,2/27/2018,5045,APARTADO
13098933,ARBOLETES,,,,,ARBOLETES,409-11,409-11,CLOSED,R845,PRIMARIA,13.2,RST,630,0,EPR,,,,,,,NO,13098933,741927.043,1471209.406,,8.84973,-76.42291,4/23/2013,6/9/2020,WO#246_GEADE,,URBANO,57413765,57319869,CLOSED,PRIMARIA,ARBOLETES,409-11,13.2,RST,13098933-5,4/9/2018,5051,TURBO
13100252,TURBO,,,EL VOLCAN,,S.PEDRO URABA,407-13,407-13,CLOSED,R857,PRIMARIA,13.2,SRT,630,0,EPR,,,,,,,NO,13100252,738078.083,1415154.679,,8.34313,-76.45469,4/26/2013,6/9/2020,WO#246_GEADE,,RURAL,57926792,57496600,CLOSED,PRIMARIA,S.PEDRO URABA,407-13,13.2,SRT,13100252-5,4/11/2018,5837,TURBO
13100259,MUTATÁ,,,,,CAUCHERAS,404-11,404-11,CLOSED,R859,PRIMARIA,13.2,TSR,630,0,EPR,,,,,,,NO,13100259,739174.839,1293738.75,,7.24627,-76.43861,4/26/2013,7/7/2018,WO#246_GEADE,,RURAL,57496004,57496448,CLOSED,PRIMARIA,CAUCHERAS,404-11,13.2,TSR,13100259-5,4/16/2018,5480,APARTADO
13101711,SAN PEDRO DE URABÁ,,,,,S.PEDRO URABA,407-12,407-12,CLOSED,R856,PRIMARIA,13.2,SRT,630,0,EPR,,,,,,,NO,13101711,746661.645,1407468.576,,8.2739,-76.37629,4/30/2013,6/9/2020,WO#246_GEADE,,URBANO,57496490,57496491,CLOSED,PRIMARIA,S.PEDRO URABA,407-12,13.2,SRT,13101711-5,4/16/2018,5665,TURBO
13104825,APARTADÓ,,,SALSIPUEDES,,APARTADO,401-11,401-11,CLOSED,R860,PRIMARIA,13.2,RST,630,0,EPR,,,,,,,NO,13104825,720766.963,1363445.839,,7.87524,-76.60787,5/8/2013,6/9/2020,WO#246_GEADE,,URBANO,58005152,58005153,CLOSED,PRIMARIA,APARTADO,401-11,13.2,RST,13104825-5,4/16/2018,5045,APARTADO
13169461,TURBO,,,,,PUEBLO BELLO,410-11,410-11,CLOSED,R410,PRIMARIA,13.2,RST,,0,,,,,,,,,13169461,730589.68,1400263.473,,8.20826,-76.52202,9/6/2013,12/27/2019,REC_SALIDA_CIRCUITO_GEADE,,RURAL,51147442,57940275,CLOSED,PRIMARIA,PUEBLO BELLO,410-11,13.2,RST,13169461-5,4/10/2018,5837,TURBO
13178722,NECOCLÍ,,,,,NECOCLI,415-13,414-11,OPEN,R978,PRIMARIA,13.2,TSR,630,0,EPR,,,,,,,NO,13178722,715759.629,1438075.856,,8.54889,-76.65851,9/24/2013,7/7/2018,WO#283_GEADE,,RURAL,57544489,57544490,CLOSED,PRIMARIA,NECOCLI,415-13,13.2,TSR,13178722-5,4/13/2018,5490,TURBO
13180013,NECOCLÍ,,,EL CATIVO,,LA ATOYOSA,414-11,414-11,CLOSED,R972,PRIMARIA,13.2,TSR,630,0,EPR,,,,,,,NO,13180013,724408.011,1438064.835,,8.54369,-76.59184,9/26/2013,2/11/2020,WO#283_GEADE,,RURAL,58005097,58005098,CLOSED,PRIMARIA,LA ATOYOSA,414-11,13.2,TSR,13180013-5,4/16/2018,5490,TURBO
