G3E_FID,MERCADO,DEPARTAMEN,MUNICIPIO,COMUNA,BARRIO,CORREGIMIE,LOCALIZACI,SUBESTACIO,CIRCUITO,CIRCUITO_S,EST_ESTABL,TIPO_AISLA,TIPO_RED,TENSION,FASES,CAPACIDAD_,FID_ANTERI,COOR_X,COOR_Y,COOR_Z,COOR_GPS_L,COOR_GPS_1,FECHA_COLO,FECHA_MODI,CLASIFICAC,NODO1_ID,NODO2_ID,EST_OPERAT,TIPO_RED_C,SUBESTACI1,CIRCUITO_C,TENSION_CO,FASES_CONN,UBICACION_,FECHA_ACTU,NUMERO_FAS,MUNICIPIO_,SUBREGION
4115961,REGIONAL,ANTIOQUIA,APARTADÓ,,,,AEREO,APARTADO,401-11,401-11,CLOSED,NORMAL,PRIMARIA,13.2,SRT,65,4115961,720852.75,1363453.998,,7.87515,-76.60803,12/6/2007,1/23/2020,URBANO,57374269,57140517,CLOSED,PRIMARIA,APARTADO,401-11,13.2,SRT,4115961-5,4/16/2018,3F,5045,APARTADO
4115963,REGIONAL,ANTIOQUIA,APARTADÓ,,,,AEREO,APARTADO,401-11,401-11,OPEN,NORMAL,PRIMARIA,7.621,T,40,4115963,721167.379,1362580.691,-1,7.86726,-76.60508,12/6/2007,7/11/2019,RURAL,57140501,57955018,CLOSED,PRIMARIA,APARTADO,401-11,7.621,T,4115963-5,4/16/2018,1F,5045,APARTADO
4115965,REGIONAL,ANTIOQUIA,APARTADÓ,,,,AEREO,APARTADO,401-11,401-11,CLOSED,NORMAL,PRIMARIA,7.621,T,15,4115965,721944.681,1364195.951,,7.8819,-76.59818,12/6/2007,7/7/2018,RURAL,47632840,51141315,CLOSED,PRIMARIA,APARTADO,401-11,7.621,T,4115965-5,4/16/2018,1F,5045,APARTADO
4115966,REGIONAL,ANTIOQUIA,APARTADÓ,,,,AEREO,APARTADO,401-11,401-11,CLOSED,NORMAL,PRIMARIA,7.621,T,15,4115966,721944.484,1364196.626,,7.88191,-76.59818,12/6/2007,7/7/2018,RURAL,47632840,51141314,CLOSED,PRIMARIA,APARTADO,401-11,7.621,T,4115966-5,4/16/2018,1F,5045,APARTADO
4115968,REGIONAL,ANTIOQUIA,APARTADÓ,,,,AEREO,APARTADO,401-11,401-11,CLOSED,NORMAL,PRIMARIA,7.621,T,15,4115968,722531.276,1364379.195,,7.88359,-76.59287,12/6/2007,7/7/2018,RURAL,47674140,51141320,CLOSED,PRIMARIA,APARTADO,401-11,7.621,T,4115968-5,4/16/2018,1F,5045,APARTADO
4115969,REGIONAL,ANTIOQUIA,APARTADÓ,,,,AEREO,APARTADO,401-11,401-11,CLOSED,NORMAL,PRIMARIA,7.621,S,15,4115969,722939.312,1364221.469,,7.88219,-76.58917,12/6/2007,7/7/2018,RURAL,47632848,51141321,CLOSED,PRIMARIA,APARTADO,401-11,7.621,S,4115969-5,4/16/2018,1F,5045,APARTADO
4115970,REGIONAL,ANTIOQUIA,APARTADÓ,,,,AEREO,APARTADO,401-11,401-11,CLOSED,NORMAL,PRIMARIA,7.621,S,40,4115970,723488.116,1363605.9,,7.87666,-76.58416,12/6/2007,7/7/2018,RURAL,47632852,51141323,CLOSED,PRIMARIA,APARTADO,401-11,7.621,S,4115970-5,4/16/2018,1F,5045,APARTADO
4115971,REGIONAL,ANTIOQUIA,APARTADÓ,,,,AEREO,APARTADO,401-11,401-11,CLOSED,DE REPETICION,PRIMARIA,7.621,S,25,4115971,723548.357,1363823.311,,7.87861,-76.58363,12/6/2007,1/21/2020,RURAL,51141330,51141331,CLOSED,PRIMARIA,APARTADO,401-11,7.621,S,4115971-5,4/16/2018,1F,5045,APARTADO
4115972,REGIONAL,ANTIOQUIA,APARTADÓ,,,,AEREO,APARTADO,401-11,401-11,CLOSED,NORMAL,PRIMARIA,7.621,T,25,4115972,724442.517,1362560.074,,7.86726,-76.57546,12/6/2007,7/7/2018,RURAL,47632866,51141345,CLOSED,PRIMARIA,APARTADO,401-11,7.621,T,4115972-5,4/16/2018,1F,5045,APARTADO
4115974,REGIONAL,ANTIOQUIA,APARTADÓ,,,,AEREO,APARTADO,401-11,401-11,CLOSED,DE REPETICION,PRIMARIA,7.621,S,25,4115974,724813.713,1362388.779,,7.86573,-76.57209,12/6/2007,7/7/2018,RURAL,47632869,53149611,CLOSED,PRIMARIA,APARTADO,401-11,7.621,S,4115974-5,4/16/2018,1F,5045,APARTADO
