,Nombre_municipio,Month,District,ServiceType,day,weekday,Date,NumberOT
150,APARTADÓ,3,Apartado TyD,Daños Energía,24,6,2019-03-24,4
151,APARTADÓ,3,Apartado TyD,Daños Energía,25,0,2019-03-25,5
152,APARTADÓ,3,Apartado TyD,Daños Energía,26,1,2019-03-26,13
153,APARTADÓ,3,Apartado TyD,Daños Energía,27,2,2019-03-27,13
154,APARTADÓ,3,Apartado TyD,Daños Energía,28,3,2019-03-28,14
155,APARTADÓ,3,Apartado TyD,Daños Energía,29,4,2019-03-29,10
156,APARTADÓ,3,Apartado TyD,Daños Energía,30,5,2019-03-30,4
157,APARTADÓ,3,Apartado TyD,Daños Energía,31,6,2019-03-31,7
158,APARTADÓ,3,Apartado TyD,Mantenimiento Energía,6,2,2019-03-06,4
159,APARTADÓ,3,Apartado TyD,Mantenimiento Energía,7,3,2019-03-07,3
160,APARTADÓ,3,Apartado TyD,Mantenimiento Energía,8,4,2019-03-08,1
161,APARTADÓ,3,Apartado TyD,Mantenimiento Energía,9,5,2019-03-09,1
163,APARTADÓ,3,Apartado TyD,Mantenimiento Energía,13,2,2019-03-13,10
164,APARTADÓ,3,Apartado TyD,Mantenimiento Energía,14,3,2019-03-14,2
165,APARTADÓ,3,Apartado TyD,Mantenimiento Energía,15,4,2019-03-15,2
166,APARTADÓ,3,Apartado TyD,Mantenimiento Energía,16,5,2019-03-16,1
167,APARTADÓ,3,Apartado TyD,Mantenimiento Energía,18,0,2019-03-18,1
168,APARTADÓ,3,Apartado TyD,Mantenimiento Energía,19,1,2019-03-19,1
169,APARTADÓ,3,Apartado TyD,Mantenimiento Energía,20,2,2019-03-20,3
170,APARTADÓ,3,Apartado TyD,Mantenimiento Energía,22,4,2019-03-22,2
171,APARTADÓ,3,Apartado TyD,Mantenimiento Energía,23,5,2019-03-23,1
172,APARTADÓ,3,Apartado TyD,Mantenimiento Energía,25,0,2019-03-25,14
173,APARTADÓ,3,Apartado TyD,Mantenimiento Energía,26,1,2019-03-26,4
175,APARTADÓ,3,Apartado TyD,Mantenimiento Energía,28,3,2019-03-28,3
176,APARTADÓ,3,Apartado TyD,Mantenimiento Energía,29,4,2019-03-29,23
178,APARTADÓ,3,Turbo TyD,Daños Energía,13,2,2019-03-13,1
179,APARTADÓ,3,Turbo TyD,Daños Energía,15,4,2019-03-15,1
